Cognome;Nome Completo;Ruolo;Ruoli Mantra;Quotazione attuale;Quotazione iniziale;Squadra;Piede;Nazionalità;Data Nascita;Foto;Media Voto;Media Fantavoto
Frimpong;Frimpong Jeremie;D;"Dd;E";26;25;Bayer Leverkusen;destro;"Olanda;Ghana";10/12/2000 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Grimaldo;Grimaldo Alejandro;D;"Ds;E";33;9;Bayer Leverkusen;sinistro;Spagna;20/09/1995 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Eze J.;Eze Joshua;C;M;1;1;Bayer Leverkusen;destro;"Germania;Nigeria";20/03/2003 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Mbamba;Mbamba Noah;C;M;2;1;Bayer Leverkusen;destro;Belgio;05/01/2005 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Andrich;Andrich Robert;C;"M;C";18;8;Bayer Leverkusen;destro;Germania;22/09/1994 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Palacios;Palacios Exequiel;C;"M;C";21;9;Bayer Leverkusen;destro;Argentina;05/10/1998 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Puerta;Puerta Gustavo;C;"M;C";1;1;Bayer Leverkusen;destro;Colombia;23/07/2003 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Xhaka;Xhaka Granit;C;"M;C";15;10;Bayer Leverkusen;sinistro;"Svizzera;Albania";27/09/1992 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Amiri;Amiri Nadiem;C;"C;W;T";2;5;Bayer Leverkusen;destro;"Germania;Afghanistan";27/10/1996 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Hofmann;Hofmann Jonas;C;W;22;25;Bayer Leverkusen;destro;Germania;14/07/1992 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Wirtz;Wirtz Florian;C;"T;A";32;16;Bayer Leverkusen;destro;Germania;03/03/2003 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Adli A.;Adli Amine;A;"W;A";21;8;Bayer Leverkusen;sinistro;"Francia;Marocco";10/05/2000 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Hlozek;Hlozek Adam;A;A;9;9;Bayer Leverkusen;destro;Repubblica Ceca;25/07/2002 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Azmoun;Azmoun Sardar;A;Pc;14;5;Roma;ambidestro;Iran;01/01/1995 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Boniface;Boniface Victor;A;Pc;29;8;Bayer Leverkusen;destro;Nigeria;30/09/2000 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Schick;Schick Patrick;A;Pc;17;7;Bayer Leverkusen;sinistro;Repubblica Ceca;24/01/1996 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Neuer;Neuer Manuel;P;Por;10;12;Bayern Monaco;destro;Germania;27/03/1986 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Schenk;Schenk Johannes;P;Por;1;1;Bayern Monaco;destro;Germania;13/01/2003 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Sommer;Sommer Yann;P;Por;19;11;Inter;destro;Svizzera;17/12/1988 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Ulreich;Ulreich Sven;P;Por;5;1;Bayern Monaco;destro;Germania;03/08/1988 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
De Ligt;De Ligt Matthijs;D;Dc;9;18;Bayern Monaco;destro;Olanda;12/08/1999 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Kim;Kim Min-jae;D;Dc;10;19;Bayern Monaco;destro;Corea del Sud;15/11/1996 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Upamecano;Upamecano Dayot;D;Dc;5;6;Bayern Monaco;destro;"Francia;Guinea Bissau";27/10/1998 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
